juan_label,juan_num,kanripo_chars,zhuzi_plain_chars,zhuzi_with_punct_chars,strict_ratio,relaxed_ratio,mismatch_count,variant_count,substantive_count
卷八十一,81,16421,16707,16729,0.9699,0.9903,517,330,187
卷八十二,82,1192,1204,1205,0.9866,0.9950,19,10,9
卷八十三,83,16582,16874,16951,0.9783,0.9903,319,193,126
卷八十四,84,8416,8471,8478,0.9710,0.9960,245,206,39
卷八十五,85,3696,3796,3804,0.9672,0.9859,117,68,49
卷八十六,86,11179,11303,11340,0.9739,0.9935,285,215,70
卷八十七,87,19171,19449,19510,0.9712,0.9907,568,368,200
卷八十八,88,373,389,392,0.9501,0.9764,16,10,6
卷八十九,89,7901,8053,8078,0.9779,0.9896,167,90,77
卷九十,90,16817,16971,17021,0.9686,0.9885,477,331,146
卷九十一,91,5800,5889,5912,0.9761,0.9908,131,80,51
卷九十二,92,6468,6548,6565,0.9536,0.9905,281,210,71
卷九十三,93,6288,6415,6441,0.9606,0.9864,257,160,97
卷九十四,94,21932,22296,22329,0.9588,0.9901,880,660,220
卷九十五,95,22097,22363,22393,0.9690,0.9931,667,488,179
卷九十六,96,8608,8784,8802,0.9693,0.9891,252,167,85
卷九十七,97,12694,12886,12911,0.9652,0.9916,446,330,116
卷九十八,98,12406,12623,12647,0.9773,0.9900,275,151,124
卷九十九,99,4099,4200,4215,0.9722,0.9871,113,61,52
卷一百,100,6078,6172,6179,0.9835,0.9917,107,48,59
卷一百一,101,18979,19277,19315,0.9828,0.9915,355,165,190
卷一百二,102,1370,1387,1389,0.9815,0.9931,26,16,10
卷一百三,103,4736,4811,4813,0.9831,0.9921,99,43,56
卷一百四,104,6523,6630,6643,0.9607,0.9917,250,199,51
卷一百五,105,5026,5112,5115,0.9609,0.9909,204,147,57
卷一百六,106,9685,9746,9762,0.9769,0.9955,230,176,54
卷一百七,107,9793,9907,9922,0.9671,0.9927,322,239,83
卷一百八,108,6226,6328,6336,0.9689,0.9909,201,134,67
卷一百九,109,6937,6974,6990,0.9653,0.9949,245,197,48
卷一百十,110,3562,3613,3624,0.9751,0.9918,94,59,35
卷一百十一,111,5151,5195,5216,0.9725,0.9938,143,104,39
卷一百十二,112,6726,6814,6827,0.9730,0.9919,187,122,65
卷一百十三,113,7854,7875,7880,0.9684,0.9979,238,225,13
卷一百十四,114,8072,8102,8107,0.9598,0.9978,307,292,15
卷一百十五,115,9279,9312,9317,0.9690,0.9979,273,257,16
卷一百十六,116,10186,10225,10238,0.9634,0.9971,336,309,27
卷一百十七,117,15040,15102,15115,0.9616,0.9975,537,513,24
卷一百十八,118,15929,16023,16036,0.9700,0.9962,444,399,45
卷一百十九,119,7831,7909,7913,0.9620,0.9949,270,243,27
卷一百二十,120,17813,18018,18028,0.9648,0.9934,604,481,123
卷一百二十一,121,16587,16737,16775,0.9616,0.9930,616,486,130
卷一百二十二,122,4888,4958,4974,0.9575,0.9909,204,157,47
卷一百二十三,123,4407,4459,4464,0.9601,0.9926,170,141,29
卷一百二十四,124,9355,9461,9483,0.9539,0.9930,419,348,71
卷一百二十五,125,8681,8777,8793,0.9538,0.9919,385,313,72
卷一百二十六,126,17224,17415,17460,0.9576,0.9925,694,564,130
卷一百二十七,127,9733,9833,9850,0.9725,0.9932,272,197,75
卷一百二十八,128,10754,10845,10880,0.9764,0.9934,275,180,95
卷一百二十九,129,4743,4800,4814,0.9716,0.9924,138,96,42
卷一百三十,130,21494,21699,21759,0.9697,0.9934,662,492,170
卷一百三十一,131,14984,15049,15093,0.9730,0.9970,400,346,54
卷一百三十二,132,10512,10559,10576,0.9695,0.9905,302,213,89
卷一百三十三,133,8439,8512,8525,0.9660,0.9945,293,237,56
卷一百三十四,134,8206,8294,8311,0.9624,0.9912,313,227,86
卷一百三十五,135,6740,6839,6849,0.9666,0.9909,235,158,77
卷一百三十六,136,8534,8655,8682,0.9618,0.9903,328,235,93
卷一百三十七,137,13000,13105,13131,0.9555,0.9941,550,468,82
卷一百三十八,138,7860,8048,8090,0.9623,0.9821,316,154,162
卷一百三十九,139,12957,13103,13133,0.9669,0.9933,435,335,100
卷一百四十,140,8408,8554,8642,0.9583,0.9886,354,247,107
