juan_label,type,kanripo_pos,kanripo_text,zhuzi_text,context_before,context_after,is_variant
原序,delete,4619-4620,二,,江右始訪於豫章胡祭酒頥庵先生家得印本中缺,十餘卷眀年分巡湖東又訪於崇仁吳聘君康齋家,False
姓氏,replace,303-304,録,錄二十,録十八十九徐㝢字居父永嘉人庚戌以後所聞池,二十一二十饒録四十六林恪字叔恭天台人癸丑,False
姓氏,replace,307-311,二十饒録,饒錄,九徐㝢字居父永嘉人庚戌以後所聞池録二十一,四十六林恪字叔恭天台人癸丑所聞池録二十二,False
姓氏,delete,805-806,子,,㽦字子耕分寧人戊申所聞饒録九十楊若海字闕,道夫之闕饒録十一楊驤字子昻道夫族兄己酉甲,False
姓氏,replace,809-812,闕饒録,子闕饒錄,分寧人戊申所聞饒録九十楊若海字闕子道夫之,十一楊驤字子昻道夫族兄己酉甲寅所聞饒録十,False
姓氏,delete,1008-1009,夫,,字行夫平陽人壬子所錄饒録二十三楊與立字闕,浦城人道從兄壬子同劉闕龔栗諦見饒録二十四,False
姓氏,insert,1013-1013,,夫,人壬子所錄饒録二十三楊與立字闕夫浦城人道,從兄壬子同劉闕龔栗諦見饒録二十四鄭南升字,False
姓氏,insert,1702-1702,,一之闕蜀類枅闕徽續類,壯祖字處謙邵武人闕蜀類李公謹字闕闕闕蜀類,郭逍遥字闕闕闕建别録十八不知何氏闕建别録,False
門目,insert,2-2,,太極陰陽凡形於法象者二卷,理氣,鬼神性理學大學五卷論語三十二卷孟子十一卷,False
門目,insert,4-4,,其別有三在天之鬼神陰陽造化是也在人之鬼神人死為鬼是也祭祀之鬼神神示祖考是也三者雖異其所以為鬼神者則同知其異又知其同斯可以語鬼神之道矣故合為一卷,理氣鬼神,性理學大學五卷論語三十二卷孟子十一卷中庸,False
門目,replace,6-7,學,論性不論氣不備故先總論人物之性而繼以氣稟之性為一卷古人之學必先明夫名義故為學也易而求之不差後世名義不明故為學也難蓋有終身昧焉而不察者又安能反而體之於身哉故以性情心意等之命名者為一卷仁義禮智等之命名者為一卷共三卷學先之以小學為一卷總論為學之方為一卷次論知行為一卷次專論讀書之法為二卷乃致知之一端也次則及夫持守為一卷又次則終以行事為一卷共七卷朱子教人之序如此因敢次第之即大學致知而后誠意正心脩身誠意正心脩身而后齊家治國平天下之道也從上聖賢相承定法不容變易如近世之逞虛言而不實踐乃學者之罪正原於知之未致非教之失也苟或懲此別立一法後致知而先行事則其始雖若有近效而其終之弊必至廢書而流於異端不然所見不充規模狹隘不過於循默自守而已所謂經綸大經則無矣非理學之功用也,理氣鬼神性理,大學五卷論語三十二卷孟子十一卷中庸三卷易,False
門目,insert,29-29,,卷易類悉本卦爻次第上下繫說序卦亦本古注分章今從本義惟綱領三卷則畧為義例氣數雖並行然有氣而後有數故先陰陽而數始次之物受形於氣數故圖書次之易本圖書而畫故伏羲六十四卦次之而原易之作則本教天下之占故卜筮次之而所以教天下之占者則假奇偶之體以象吉凶故象次之此伏羲之易朱子所謂本義也此則為二卷易始無辭更文王周公孔子而辭始備故三聖之易越千有餘年至程子而始演易之理邵子而始明易之數又至朱子而始推易之占故繼以三子之易然後總論夫讀易之方與夫卦爻等義可以類推而通者而復終之以人事以明易為人事用也凡後世之言易者其得失畧次于後使學者有考焉此則為一卷上經四卷下經二卷下繫三卷說序雜卦一,五卷論語三十二卷孟子十一卷中庸三卷易十三,卷書二卷詩二卷孝經一卷春秋一卷禮八卷樂一,False
門目,replace,58-59,吕,自孔子及顔曾弟子至孟子以周程張子共附為一卷周程所以上繼孔孟也然後分周子之書為一卷程子之書為三卷凡係入近思者皆依卷次第別為二卷其非入近思者以類而從別為一卷文集附焉張子之書為二卷亦別入近思者邵子之書為一卷程子門人為一卷楊氏尹氏門人為一卷羅氏胡氏門人為一卷朱子自論學工夫為一卷論注書為一卷已上諸經存者不入外任一卷内任一卷論治道一卷論取士一卷論兵刑一卷論民財一卷論官一卷訓門人九卷呂,一卷春秋一卷禮八卷樂一卷孔孟周程張邵朱子,伯恭一卷陳葉一卷陸氏一卷老莊一卷釋氏一卷,False
卷三,delete,5194-5195,體,,魄是耳目之精魂是口鼻呼吸之氣眼光落地所謂,魄則降也或問口鼻呼吸者為魂耳目之聰明為魄,False
卷三,delete,9205-9206,人,,賦形之初言之必是先有此體象方有陽氣來附他,鬼神以主宰言然以物言不得又不是如今泥塑底,False
卷三,delete,9493-9494,人,,子孫之氣在則他便在然不是祭祀時如何得他聚,人死雖是魂魄各自飛散要之魄又較定須是招魂,False
卷三,delete,9557-9558,人,,便散了聖人教人子孫常常祭祀也是要去聚得他,問祖考精神既散必須三日齋七日戒求諸陽求諸,False
卷四,delete,4893-4894,信,,動作思慮營為皆氣也而理存焉故發而為孝弟忠,仁義禮智皆理也然而二氣五行交感萬變故人物,False
卷四,replace,5488-5489,人,端蒙,以反之則天地之性存矣故説性須兼氣質説方備,天命之性若無氣質却無安頓處且如一勺水非有,False
卷四,delete,12765-12766,段,,獨行底人所為必可觀若使有聖人収拾去可知大,好只是當時吾道黑淬淬地只有些章句詞章之學,False
卷四,delete,12797-12798,縳,,只有些章句詞章之學他如龍如虎這些藝解都束,他不住必決去無疑也煞被他引去了好人可畏可,False
卷四,delete,13119-13120,揚,,棟梁或賤而為厠料皆其生時所禀氣數如此定了,,False
卷五,delete,2675-2676,性,,使曉不得者生病心大概似箇官人天命便是君之,命便如職事一般此亦大概如此要自理㑹得如邵,False
卷五,insert,2677-2677,,性,不得者生病心大概似箇官人天命便是君之性命,便如職事一般此亦大概如此要自理㑹得如邵子,False
卷六,insert,2021-2021,,蒙,自然如此忠信以人言之須是人體出來方見端蒙,誠者以心之全體而言忠字以其應事接物而言此,False
卷八,delete,3812-3813,眩,,先立頭緒頭緒既立然後有所持守書曰若藥不瞑,厥疾弗瘳今日學者皆是養病可學譬如煎藥先猛,False
卷八,delete,4681-4682,𣺌,,底事説不切己了全無益一向去前人説中乘虚接,妄取許多枝蔓只見逺了只見無益於己聖賢千言,False
卷八,delete,6456-6457,𢎞,,惰則當涵泳振作氣象方子學者須養教氣宇開濶,毅升卿當使截斷嚴整之時多膠膠擾擾之時少方,False
卷八,replace,6581-6584,徳不𢎞,德不,曰學以聚之問以辨之寛以居之仁以行之語曰執,信道不䔍焉能為有焉能為亡學問之後斷以寛居,False
卷八,replace,6611-6613,徳𢎞,德,有焉能為亡學問之後斷以寛居信道篤而又欲執,者人之為心不可促迫也人心須令著得一善又著,False
卷九,delete,2048-2049,幹,,是事親不得不孝事兄不得不弟交朋友不得不信,而今人只管説治心修身若不見這個理心是如何,False
卷九,replace,4528-4536,説出来底便好説得,說,前頭自磊落地去淳道理有面前底道理平易自在,出來﨑嶇底便不好節今日且将自家寫得出説得,False
卷九,replace,4538-4539,﨑,底便好說得出來崎,有面前底道理平易自在説出来底便好説得出來,嶇底便不好節今日且将自家寫得出説得出底去,False
卷十,insert,0-0,,讀書法上,,讀書乃學者第二事方子讀書已是第二義盖人生,False
卷十,delete,726-727,把,,究道理徹底如人之食嚼得爛方可嚥下然後有補,看文字須逐字看得無去處譬如前後門塞定更去,False
卷十一,insert,0-0,,讀書法下,,人之為學固是欲得之於心體之於身但不讀書則,False
卷十二,insert,0-0,,持守,,自古聖賢皆以心地為夲士毅聖賢千言萬語只要,False
卷十三,replace,7217-7219,夕夕,多,甚事只是講明義理以淑人心使世間識義理之人,則何患政治之不舉耶柄因論人好習古今治亂典,False
卷十三,insert,7367-7367,,懇,少随其人所見看其人議論如狄梁公辭雖緩意甚,切如中邊皆緩則不可翕受敷施九徳咸事聖人便,False
卷十四,delete,3438-3439,蔕,,主腦便是有君臣只緣夲來都是天地所生共這根,所以大率多同聖賢出來撫臨萬物各因其性而導,False
卷十五,delete,2338-2339,鬼,,其禮及其長也不過只是窮此理因而漸及於天地,神日月隂陽草木鳥獸之理所以用工也易今人皆,False
卷十五,delete,2745-2746,開,,方外便是敬以直内徳明才仲問格物是小學已有,明處了便從大學做將去推致其極曰人也不解無,False
卷十五,delete,3503-3504,廳,,也所謂實行到那地頭如南劍人徃建寜須到得郡,上方是至若只到建陽境上即不謂之至也徳明格,False
卷十五,delete,5191-5192,𦂳,,格物固是合下工夫到後亦離這意思不得學者要,在求其放心若收拾得此心存在已自㸔得七八分,False
卷十五,delete,6265-6266,捺,,以上方是格讌若不格物致知那箇誠意正心方是,在這裏不是自然若是格物致知便自然不用强捺,False
卷十五,delete,6285-6286,捺,,捺在這裏不是自然若是格物致知便自然不用强,元昭問致知格物只作窮理説曰不是只作窮理説,False
卷十六,insert,0-0,,傳一章釋明明德,,問克眀徳曰徳之眀與不眀只在人之克與不克耳,False
卷十六,insert,1333-1333,,傳二章釋新民,天之眀命人心惟危道心惟㣲也是天之眀命䕫孫,苟日新一句是為學入頭處而今為學且要理㑹苟,False
卷十六,insert,2034-2034,,傳三章釋止於至善,至善也僴其命維新是新民之極和天命也新大雅,緡蠻黄鳥止於丘隅物亦各尋箇善處止可以人而,False
卷十六,insert,3223-3223,,傳四章釋本末,節説至善後面烈文一節又是咏歎此至善之意銖,問聽訟吾猶人也必也使無訟乎曰固是以修身為,False
卷十六,insert,3531-3531,,傳五章釋格物致知,辭義剛大畏民志者大有以畏服斯民自欺之志卓,劉圻父説人心之靈莫不有知而天下之物莫不有,False
卷十六,insert,5043-5043,,傅六章釋誠意,却㑹效古人為文其集中有數篇論全似禮記必大,誠其意只是實其意只作一箇虚字看如正字之類,False
卷十六,insert,10910-10910,,熟,靣也要知得透徹便自是無那箇物事譬如果子爛,後皮核自脱落離去不用人去咬得了如公之説這,False
卷十六,delete,21789-21790,孤,,恐便是連那老衆人之老說曰不然此老老長長恤,方是就自家身上切近處說所謂家齊也民興孝興,False
卷十六,delete,21997-21998,孤,,後事如何將做老老說得僴老老興孝長長興弟恤,不倍這三句是說上行下效底道理是以君子有絜,False
卷十六,delete,22329-22330,孤,,其幼便不得㝢仁甫問絜矩曰上之人老老長長恤,則下之人興孝興弟不倍此是說上行下效到絜矩,False
卷十六,delete,22732-22733,孤,,在前面這處是推老老而民興孝長長而民興弟恤,而民不倍這處便已知民之好惡與己之好惡相似,False
卷十六,delete,23069-23070,孤,,此是推本上老老而民興孝上長長而民興弟上恤,而民不倍須是留他地位使人各得自盡其孝弟不,False
卷十六,delete,23184-23185,孤,,此數句皆是就人身切近處說如上文老老長長恤,之意至於毋以使下毋以事上毋以先後毋以從前,False
卷十六,delete,25698-25699,𣙜,,皆不是絜矩自家要賣酒便教人不得賣酒自家要,鹽便教人不得賣鹽但事勢相廹行之已乆人不為,False
卷十七,replace,1641-1643,𦂳宻,密,只有箇恭敬此最親切今人若能專一此心便收歛,都無些子空罅若這事思量未了又走做那邊去心,False
卷十七,delete,2517-2518,氣,,又有智愚賢不肖之殊世間有人聦明通曉是禀其,之清者矣然却所為過差或流而為小人之歸者又,False
卷十七,delete,3998-4003,㑹入扵老也,,好也得喚做不好也得自家本不曾識得到少刻也,會入扵佛也㑹入扵申韓之刑名止緣初間不理㑹,False
卷十七,replace,4005-4006,扵,於老也會入於,也得自家本不曾識得到少刻也㑹入扵老也會入,佛也㑹入扵申韓之刑名止緣初間不理㑹到十分,False
卷十七,delete,4667-4668,𦂳,,其極方始是看古之聖賢别無用心只這兩者是喫,處明明徳便欲無一毫私欲新民便欲人扵事事物,False
卷十七,delete,6279-6280,𦂳,,妙字或録云葢知得此理也又問知與思扵身最切,曰然二者只是一事知如手思是使那手去做事思,False
卷十七,delete,6882-6883,龜,,入井時其心怵惕惻隠何故如此學者曰自然如此,山曰豈可只說自然如此了便休須是知其所自來,False
卷十七,delete,6908-6909,龜,,說自然如此了便休須是知其所自來則仁不逺矣,山此語極好又或人問龜山曰以先知覺後知知覺,False
卷十七,delete,6918-6919,龜,,知其所自來則仁不逺矣龜山此語極好又或人問,山曰以先知覺後知知覺如何分龜山曰知是知此,False
卷十七,delete,6932-6933,龜,,極好又或人問龜山曰以先知覺後知知覺如何分,山曰知是知此事覺是覺此理且如知得君之仁臣,False
卷十七,delete,8840-8841,𦂳,,之不講聞義不能徙不善不能改是吾憂也此有甚,要聖人却憂者何故惟其憂之所以為聖人所謂生,False
卷十七,delete,9064-9065,兮,,用力以求得其所止焉正心誠意便是道學自修瑟,僴兮赫兮喧兮到這裏睟面盎背發見扵外便是道,False
卷十七,delete,9066-9067,兮,,以求得其所止焉正心誠意便是道學自修瑟兮僴,赫兮喧兮到這裏睟面盎背發見扵外便是道學自,False
卷十七,delete,9068-9069,兮,,得其所止焉正心誠意便是道學自修瑟兮僴兮赫,喧兮到這裏睟面盎背發見扵外便是道學自修之,False
卷十七,delete,9070-9071,兮,,所止焉正心誠意便是道學自修瑟兮僴兮赫兮喧,到這裏睟面盎背發見扵外便是道學自修之驗也,False
卷十八,delete,2460-2461,鬼,,舟之可以行水皆所當理㑹又問天地之所以高深,神之所以幽顯曰公且説天是如何獨高蓋天只是,False
卷十八,delete,2573-2574,鬼,,深鬼神之幽顯自今觀之他是以鬼為幽以神為顯,者隂也神者陽也氣之屈者謂之鬼氣之只管恁地,False
卷十八,delete,3744-3745,將,,物格也又曰格物不可只理會文義須實下工夫格,去始得夔孫問伊川論致知處云若一事上窮不得,False
卷十八,delete,4788-4789,鬼,,緊切學者須當知夫天如何而能高地如何而能厚,神如何而為幽顯山岳如何而能融結這方是格物,False
卷十八,insert,5890-5890,,㝢,樸實去做工夫如胡氏立志以定其本便是此意淳,同㝢李德之問立誠意以格之曰這箇誠意只是要,False
卷十八,delete,5891-5892,㝢,,實去做工夫如胡氏立志以定其本便是此意淳同,李德之問立誠意以格之曰這箇誠意只是要著實,False
卷十八,delete,9358-9359,鬼,,長幼之序朋友之信以至天之所以高地之所以厚,神之所以幽顯又至草木鳥獸一事一物莫不皆有,False
卷十八,delete,9647-9648,弦,,夏秋冬以乾言之有元亨利貞以一月言之有晦朔,望以一日言之有旦晝暮夜節問或問中謂口鼻耳,False
卷十八,delete,9915-9916,𠂻,,夫問上帝降衷曰衷只是中也又曰是恰好處如折,是折兩者之半而取中之義卓陶安國問降𠂻之𠂻,False
卷十八,replace,9933-9936,𠂻之𠂻,之,如折𠂻是折兩者之半而取中之義卓陶安國問降,與受中之中二字義如何曰左氏云終始而𠂻舉之,False
卷十八,delete,9953-9954,𠂻,,𠂻之𠂻與受中之中二字義如何曰左氏云終始而,舉之又曰衷甲以見看此衷字義本是衷甲以見之,False
卷十八,delete,10017-10018,𠂻,,藝折衷於夫子蓋是折兩頭而取其中之義後人以,為善却説得未親切銖德元問詩所謂秉彛書所謂,False
卷十八,delete,10068-10069,𠂻,,皆是一理曰誠是一理豈可無分别且如何謂之降,曰衷是善也曰若然何不言降善而言降衷衷字看,False
卷十八,delete,10540-10541,𠂻,,下民這緊要字却在降字上故自天而言則謂之降,自人受此衷而言則謂之性如云天所賦為命物所,False
卷十八,delete,10582-10583,𠂻,,為性命便是那降字至物所受則謂之性而不謂之,所以不同縁各據他來處與所受處而言也惟皇上,False
卷十八,delete,10605-10606,𠂻,,不同縁各據他來處與所受處而言也惟皇上帝降,於下民此據天之所與物者而言若有常性是據民,False
卷十八,delete,10755-10756,𠂻,,聖心心一符如印記相合無纎毫不似處劉用之曰,字是兼心説如云衷誠丹衷是也言天與我以是心,False
卷十八,replace,10923-10926,𠂻之𠂻,之,則不可後來横渠説得極精云心統性情者也如降,同是此理然此字但可施於天之所降而言不可施,False
卷十八,delete,11013-11014,𠂻,,太極否曰只一般但名不同中只是恰好處上帝降,亦是恰好處極不是中極之為物只是在中如這燭,False
卷十八,delete,13789-13790,龜,,上蔡天下之物不可勝窮然皆備於我而非從外得,山今日格一件明日格一件為非程子之言和靖物,False
卷十八,delete,14022-14023,龜,,説恕字大槩只是説要推我之心以窮理便礙理了,山説反身而誠却大段好須是反身乃見得道理分,False
卷十八,delete,14364-14365,龜,,何恪今日格一件明日格一件乃楊遵道所録不應,山不知泳龜山説只反身而誠便天地萬物之理在,False
卷十八,delete,14369-14370,龜,,一件明日格一件乃楊遵道所録不應龜山不知泳,山説只反身而誠便天地萬物之理在我胡文定却,False
卷十八,delete,14653-14654,龜,,只有上蔡所謂窮理只是尋个是處為得之道夫曰,山反身而誠之説只是摸空説了曰都無一个著實,False
卷十八,delete,14718-14719,龜,,如此説其下工夫時亦須有个窒礙曰也無做處如,山於天下事極明得如言治道與官府政事至纖至,False
卷十八,delete,14777-14778,龜,,截看了道夫知言要身親格之天下萬事如何盡得,山反身而誠則萬物在我矣太快伊川云非是一理,False
卷十九,delete,2454-2455,候,,這箇使急不得須是緩緩理㑹須是逐一章去搜索,這一章透徹後却理㑹第二章乆後通貫却事事㑹,False
卷十九,delete,4470-4471,𦂳,,得某那集注都詳備只是要人看無一字閒那箇無,要閒底字越要看自家意裏說是閒字那箇正是𦂳,False
卷十九,delete,4490-4491,𦂳,,𦂳要閒底字越要看自家意裏說是閒字那箇正是,要字上蔡云人不可無根便是難所謂根者只管看,False
卷十九,delete,5229-5230,龜,,略解終是不浹洽因舉五峯舊見龜山問為學之方,山曰且看論語五峯問論語中何者為要龜山不對,False
卷十九,delete,5246-5247,龜,,學之方龜山曰且看論語五峯問論語中何者為要,山不對久之曰熟讀先生因曰如今且只得挨將去,False
卷十九,delete,6768-6769,龜,,程外諸說恐不相上下又問蜚卿答曰自二程外惟,山勝曰龜山好引證未說本意且將别說折過人若,False
卷十九,delete,6772-6773,龜,,恐不相上下又問蜚卿答曰自二程外惟龜山勝曰,山好引證未說本意且將别說折過人若看它本說,False
卷二十,delete,32-33,脩,,明得一篇其餘自然易曉夀昌學而篇皆是先言自,而後親師友有朋自逺方来在時習之後而親仁在,False
卷二十,delete,2730-2731,鬼,,記得與他說中庸鬼神之事也須要說此非功用之,神乃妙用之鬼神滚纒說去更無了期只是向髙乗,False
卷二十,delete,3376-3377,泓,,知不知在人何愠之有此等句極好君子之心如一,清水更不起些㣲波人傑問學者稍知為己則人之,False
卷二十,delete,14137-14138,候,,四時之有春彼其長於夏遂於秋成於冬雖各具氣,然春生之氣皆通貫於其中仁便有箇動而善之意,False
卷二十,delete,15752-15753,候,,上面察探要見這道理道理自在那裡何用如此等,察探他且如上蔡說仁曰試察吾事親從兄時此心,False
卷二十,delete,16134-16135,候,,說道是心本如此不曽把做主說諸公於此便要等,探知這心却恐不如此榦集義或疑上蔡孝弟非仁,False
卷二十,delete,17708-17709,絲,,恁地便是向外問謝氏說如何曰謝氏此一段如亂,須逐一剔撥得言語異同巧言字如何不同又須見,False
卷二十一,delete,376-377,候,,大凡看文字須看取平莫有些小偏重處然也用時,到曽子三省只是他這些未熟如今人記書熟底非,False
卷二十一,delete,2241-2242,龜,,程子說孟子若做孔子事儘做得只是未能如聖人,山言孔子似知州孟子似通判權州此喻甚好通判,False
卷二十一,delete,3796-3797,將,,謂信此語已都包了如盞便喚做盞楪便喚做楪若,楪喚做盞便違背了忠是體信是用自發己自盡者,False
卷二十一,delete,4981-4982,擡,,人要髙似聖人了便嫌聖人說眼前物為太卑須要,起了說如所謂有物有則之物亦只是這眼前物語,False
卷二十一,delete,5397-5398,弊,,學者用工不專故說論語孟子惟眀道伊川之言無,和靖雖差低而却無前弊易曰學以聚之問以辨之,False
卷二十一,delete,5997-5998,龜,,自是别有闗竅決不及聖人也問道千乗之國章曰,山說此處極好㸔今若治國不本此五者則君臣上,False
卷二十一,delete,6109-6110,龜,,長進南升賀孫録别出集注文振說道千乗之國曰,山最說得好須看此五者是要緊古聖王所以必如,False
卷二十一,delete,10727-10728,𤾉,,物且不曽生箇假底人物来仲思問如隂陽舛錯雨,失時亦可謂之誠乎曰只是乖錯不是假底依舊是,False
卷二十一,delete,10964-10965,𤾉,,一箇物便是一箇物更無些假道夫問隂陽舛錯雨,不時亦可謂之誠否曰雖恁地亦只是舛錯不是假,False
卷二十二,delete,1088-1089,龜,,意如衣錦尚絅皆是且要理㑹那不求底道理時舉,山解夫子温良恭儉讓有暴慢侈泰等語正淳以為,False
卷二十二,delete,1147-1148,龜,,人似不然之曰暴慢侈泰固所當戒但不當於此言,山說話常有些畏罪禍底意思在不知聖人温良恭,False
卷二十二,delete,2208-2209,𦂳,,道如盜跖之所為則不得不改若其事雖不善無甚,要亦姑守之以待三年若遽改之是忘其親也某舊,False
卷二十二,delete,2605-2606,𦂳,,其孝不然所行雖善亦未得為孝此必有為而言然,要在看㳺氏尹氏兩節意銖戴智老問近見先生說,False
卷二十二,delete,2928-2929,𨽻,,自斬至緦衣服異等九族之情無所憾自王公至皂,儀章異制上下之分莫敢争皆出於性之所有循而,False
卷二十二,delete,3755-3756,龜,,是知得當如此則行之自然和到和處方為美因舉,山與薛宗博說逐日㑹職事茶事其人云禮起聖人,False
卷二十二,delete,3788-3789,龜,,事其人云禮起聖人之偽今日㑹茶莫不消得如此,山曰既是不消得因何又却㑹茶其人曰只為心中,False
卷二十二,delete,3812-3813,龜,,是不消得因何又却㑹茶其人曰只為心中打不過,山曰只此打不過處便是禮非聖人之偽禮之用和,False
卷二十二,delete,5193-5194,慘,,句都錯如東坡說道利所以為義之和他把義做箇,殺之物看了却道得利方和和是乾卦一徳如何這,False
卷二十二,delete,7732-7733,弊,,因不失其親是接物與人之初下數句却是久而無,之効但當初合下便須著思量到無弊處也時舉問,False
卷二十三,delete,16-17,泥,,問為政以徳莫是以其徳為政否曰不必,這以字為政以徳只如為政有徳相似節亞夫問為,False
卷二十三,delete,3030-3031,弦,,其說之是然太史公謂三百篇詩聖人刪之使皆可,歌伯恭泥此以為皆好蓋太史之評自未必是何必,False
卷二十三,delete,4802-4803,聊,,出其東門有女如雲雖則如雲匪我思存縞衣綦巾,樂我員此亦無邪思也為子而賦凱風亦無邪思也,False
卷二十三,delete,6544-6545,騎,,意思大凡持敬程子所謂敬如有箇宅舍講學如逰,不可便相離逺去須是於知處求行行處求知斯可,False
卷二十三,delete,13556-13557,𦵏,,時只就一人面上說得其餘人皆做不得所謂生事,祭須一於禮此是人人皆當如此然其間亦是警孟,False
卷二十三,delete,13767-13768,龜,,思如此故某於末後亦說及之非專為此而發也至,山又却只說那不及禮者皆是倚於偏此最釋經之,False
卷二十四,delete,9912-9913,龜,,許多極好人無不陷焉如李文靖王文正謝上蔡楊,山㳺先生諸人賀孫問集註何以言佛而不言老曰,False
卷二十四,delete,10103-10104,𦵏,,事世人見他無道理自不去學他只如墨者夷之厚,自打不過縁無道理自是行不得若佛氏則近理所,False
卷二十四,insert,13902-13902,,夫婦依舊廢這箇不得義剛忠質文忠只是樸實頭白直做將去質則漸有形質制度而未及於文采文則就制度上事事加文采然亦天下之勢自有此三者非聖人欲尚忠尚質尚文也夏不得不忠商不得不質周不得不文彼時亦無此名字後人見得如此故命此名僴以下集註問忠與質如何分曰忠只是渾然誠確質與文對質便自有文了但文未盛比之文則此箇質耳銖或問忠與質如何分先生喜其善問答云質朴則未有文忠則渾然無質可言矣過或問忠與質異處曰此如人家初做得箇家計成人雖有許多動用其誠意直是質實到做得家計成次第便有動用噐使其初務純朴不甚浮華及其漸久用度日侈駸駸然日趨於文而不容自已其勢然也子蒙行夫問三統曰諸儒之說為無據某看只是,判之初天始開當子位故以子為天正其次地始闢,當丑位故以丑為地正惟人最後方生當寅位故以,False
卷二十四,replace,13903-13904,丑,天地肇判之初天始開當子,之初天始開當子位故以子為天正其次地始闢當,位故以丑為地正惟人最後方生當寅位故以寅為,False
卷二十四,replace,13907-13909,丑為,子為天正其次,開當子位故以子為天正其次地始闢當丑位故以,地正惟人最後方生當寅位故以寅為人正即邵康,False
卷二十四,replace,13910-14182,正惟人最後方生當寅位故以寅為人正即邵康節十二㑹闕當寅位則有所謂開物當戌位則有所謂閉物閉物便是天地之間都無了看他說便須天地翻轉數十萬年問天統地統人統之别曰子是一陽初動時故謂之天統丑是二陽故謂之地統寅是三陽故謂之人統因舉康節元㑹運世之說十二萬九千六百年為一元一元有十二㑹一萬八百年為一㑹一㑹有三十運三百六十年為一運一運有十二世以小推大以大推小箇箇一般謂嵗月日時皆相配合也如第一㑹第二㑹時尚未生人物想得地也未硬在第三㑹謂之開物人物方生此時屬寅到得戌時謂之閉物乃人消物盡之時也大率是半明半晦有五六萬年好有五六萬年不好如晝夜相似到得一元盡時天地又是一畨開,始,位故以子為天正其次地始闢當丑位故以丑為地,闢問先生詩云前推更無始後際那有終如何曰惟,False
卷二十四,delete,14183-14213,問先生詩云前推更無始後際那有終如何曰惟其終而復始所以無窮也燾,,好如晝夜相似到得一元盡時天地又是一畨開闢,問子丑寅之建正如何曰此是三陽之月若秦用亥,False
卷二十四,delete,15928-15929,鬼,,後之制事權歸上而激厲士大夫以亷耻賀孫非其,而祭之如天子祭天地諸侯祭山川大夫祭五祀庶,False
卷二十四,delete,15996-15997,鬼,,祭山川諸侯而祭天地此所謂非其鬼也僴問非其,而祭之如諸侯僭天子大夫僭諸侯之類又如士庶,False
卷二十四,delete,16058-16059,鬼,,廟神都是非其鬼問如用僧尼道士之屬都是非其,曰亦是問祭旁親逺族不當祭若無後者則如之何,False
卷二十四,delete,16128-16129,鬼,,子看古禮今無存者要一一行之也難賀孫問非其,而祭之尋常人家所當祭者只是祖先否曰然又問,False
卷二十五,delete,3841-3842,龜,,方得今却說得衰麻哭踊似是先底却覺語意不完,山說話多如此不知如何却是范氏儉者物之質戚,False
卷二十五,insert,4003-4003,,得窒碍方可言熟也若居喪習熟於禮文行得皆無窒碍則哀戚必不䏻盡故曰不若戚而不文之愈也如楊氏汙罇抔飲之說他是就儉說却不甚親切至於喪不可以徑行直情一句大覺文意顛倒後,直情而徑行此一語稍傷那哀戚之意其意當如上,面始諸飲食之語謂䘮主於哀戚為之哭泣擗踊所,False
卷二十五,insert,4004-4004,,云則其本戚而已却似與前面無收殺此須是說居喪先要戚然却不可無衰麻哭踊之數以為之節如此說方得今却說得衰麻哭踊似是先底却覺語意不完山說話多如此不知如何却是范氏儉者物之質戚者心之誠二語好又曰人只習得那文飾處時自是易忘了那朴實頭處如巧言令色鮮矣仁之類義剛楊氏謂禮,情而徑行此一語稍傷那哀戚之意其意當如上面,始諸飲食之語謂䘮主於哀戚為之哭泣擗踊所以,False
卷二十五,replace,4008-4009,之,燔炙言禮之初本在飲食然其用未具但以火熾石其石既熱却以肉鋪其上熟而食之安有鼎爼籩豆也然方其為鼎爼之始亦有文章雕鏤煩而質滅矣故云與奢寧儉又云楊說喪不可直情而徑行此一,此一語稍傷那哀戚之意其意當如上面始諸飲食,語謂䘮主於哀戚為之哭泣擗踊所以節之其本則,False
卷二十五,replace,4010-4014,謂䘮主於,稍傷那,語稍傷那哀戚之意其意當如上面始諸飲食之語,哀戚為之哭泣擗踊所以節之其本則戚而已楊氏,False
卷二十五,delete,4016-4158,為之哭泣擗踊所以節之其本則戚而已楊氏語多如此所以取彼處亦少子䝉問林放問禮之本夫禮貴得中奢易則過於文儉戚則不及而質皆未為合禮然質乃禮之本過於文則去本已逺且禮之始本諸飲食汙樽而抔飲簣桴而土鼓豈不是儉今若一向奢而文則去本已逺故寜儉而質䘮主於哀戚故立衰麻哭踊之數以節之今若一向治其禮文而無哀戚,,之意其意當如上面始諸飲食之語謂䘮主於哀戚,之意則去本已逺故寜戚而質乃禮之本日也只是,False
卷二十五,replace,4160-4270,則去本已逺故寜戚而質乃禮之本日也只是如此南升問易乃慢易如何范氏以為䘮易而文曰易也近文易字訓治不是慢易簡易之易若是慢易簡易聖人便直道不好了如何更下得與其字只此可見榦問夷狄之有君一章程氏注似專責在下者陷無君之罪尹氏注似專責在,其意當如,踊之數以節之今若一向治其禮文而無哀戚之意,上者不能盡為君之道何如曰只是一意皆是說上,False
